######################################################################
## Molczan data                                 updated: 2005-08-10 ##
## ---------------------------------------------------------------- ##
## Format:                                                          ##
##   1     7    12   17   22   27                                   ##
##   NNNNN llll wwww dddd mmmm S rrrr                               ##
##                                                                  ##
## NNNNN - NORAD number of satellite                                ##
##  llll - length (m)                                               ##
##  wwww - width (m)                                                ##
##  dddd - depth (m) *                                              ##
##  mmmm - standard magnitude (range: 1000km, illumination: 50%)    ##
##     S - standard magnitude source flag:                          ##
##           v - mean value derived from from obs.                  ##
##           d - derived from its dimensions                        ##
##  rrrr - RCS value                                                ##
##                                                                  ##
## * When width and depth are zero then the object is a sphere,     ##
##   R=llll. When depth is zero then the object is a cylinder,      ##
##   R=wwww.                                                        ##
######################################################################
03819  6.0  2.4  0.0  5.5 v  7.8
03835  5.0  1.5  0.0  5.8 v  6.2
03890  3.0  1.5  0.0  6.9 d  4.3
03892  6.0  1.5  0.0  6.3 d  6.8
04070  2.0  1.0  0.0  6.3 v  3.1
04071  6.0  2.4  0.0  5.5 v  7.7
04138  2.0  1.0  0.0  6.3 v  2.8
04139  6.0  2.4  0.0  5.5 v  9.1
04159  6.0  1.5  0.0  6.3 d  7.0
04216  3.0  1.5  0.0  6.5 d  4.2
04254  1.6  0.0  0.0  7.3 d  4.0
04255  6.0  2.4  0.0  5.5 v  6.6
04322  4.9  1.4  0.0  6.5 d  6.7
04327  7.6  1.5  0.0  6.0 d  7.7
04362  3.0  1.5  0.0  6.9 d  4.2
04369  2.0  1.0  0.0  6.3 v  4.6
04370  6.0  2.4  0.0  5.5 v  6.4
04391  6.0  2.4  0.0  5.5 v  9.0
04394  2.8  2.6  0.0  5.1 v   12
04419  5.0  1.5  0.0  5.8 v  7.2
04420  2.8  2.6  0.0  5.1 v   10
04564  2.0  2.0  0.0  5.9 d  3.9
04578  2.0  1.0  0.0  6.3 v  3.9
04579  6.0  2.4  0.0  5.5 v  7.4
04588  2.0  1.0  0.0  6.3 v  4.7
04589  6.0  2.4  0.0  5.5 v  7.3
04597  8.0  2.5  0.0  5.3 d  7.7
04598  4.0  2.0  0.0  6.2 d  8.2
04603  3.1  0.0  0.0  5.9 d  6.2
04614  3.0  0.0  0.0  6.0 d 0.87
04675  2.5  0.0  0.0  6.4 d  5.1
04719  2.0  0.0  0.0  6.8 d 0.88
04783  1.4  2.0  0.0  6.9 d  5.5
04784  6.0  2.4  0.0  5.5 v  8.2
04786  7.6  0.0  0.0  3.9 d   23
04793  1.3  1.0  0.0  8.0 d  5.6
04794  4.9  1.4  0.0  6.5 d  6.1
04799  1.4  2.0  0.0  6.9 d  4.3
04800  6.0  2.4  0.0  5.5 v  7.2
04814  2.8  2.6  0.0  5.1 v   10
04922  4.0  2.0  0.0  6.2 d  1.6
04964  4.0  2.0  0.0  6.2 d  8.6
05051  6.0  2.4  0.0  5.5 v  7.6
05105  2.0  2.0  0.0  5.9 d  4.4
05117  5.0  1.5  0.0  5.4 v  7.8
05118  2.8  2.6  0.0  5.1 v   10
05174  2.0  1.0  0.0  6.3 v  3.7
05175  6.0  2.4  0.0  5.5 v  6.8
05181  6.0  2.4  0.0  5.5 v  7.9
05218  6.0  2.4  0.0  5.5 v   10
05239  6.0  2.4  0.0  5.5 v  6.4
05398  1.1  0.0  0.0  6.5 v 0.81
05555  6.0  2.4  0.0  5.5 v   11
05557  1.6  1.2  0.0  7.0 d  1.7
05560  9.6  1.5  0.0  5.8 d   15
05580  0.7  1.1  0.0  8.2 d  1.0
05581  1.4  0.7  0.0  8.5 d  1.0
05614  1.6  0.0  0.0  7.3 d  4.4
05615  6.0  2.4  0.0  5.5 v  7.1
05678  0.3  0.9  0.9  8.0 d    1
05679  6.0  1.5  0.0  6.0 d    8
05680  0.3  0.9  0.9  8.0 d    1
05681  0.3  0.9  0.9  8.0 d    1
05682  0.3  0.9  0.9  8.0 d    1
05683  1.4  2.0  0.0  6.9 d  5.1
05685  6.0  2.4  0.0  5.5 v  8.6
05705  2.0  1.0  0.0  6.3 v  5.7
05707  6.0  2.4  0.0  5.5 v  7.7
05721  2.0  2.0  0.0  5.9 d  4.4
05729  1.8  1.5  0.0  7.2 d  3.0
05730  6.0  2.4  0.0  5.5 v  9.0
05731  5.0  1.5  0.0  5.8 v   10
05732  2.8  2.6  0.0  5.1 v  5.9
05846  1.4  2.0  0.0  6.9 d  3.0
05847  6.0  2.4  0.0  5.5 v  7.1
05907  6.0  2.4  0.0  5.5 v  8.3
05917  5.0  1.5  0.0  5.8 v  6.6
05918  2.8  2.6  0.0  5.1 v  8.6
06019  1.4  2.0  0.0  6.9 d  2.5
06020  6.0  2.4  0.0  5.5 v  6.7
06059  2.0  1.0  0.0  6.3 v  3.3
06061  6.0  2.4  0.0  5.5 v  8.3
06073  3.0  0.0  0.0  6.0 d  1.0
06079  5.0  1.5  0.0  5.8 v  6.6
06080  2.8  2.6  0.0  5.1 v   10
06125  6.0  2.4  0.0  5.5 v  8.3
06126  3.0  1.5  0.0  6.9 d  3.7
06149  6.0  2.4  0.0  5.5 v  6.7
06153  3.0  2.2  0.0  6.3 d   15
06154  2.0  2.0  0.0  5.9 d  4.2
06155  8.6  3.0  0.0  5.0 d   21
06207  6.0  2.4  0.0  5.5 v  7.7
06212 12.2  3.0  0.0  4.7 d  2.0
06217  1.7  0.0  0.0  7.2 d  2.5
06218  1.3  0.9  0.0  8.1 d  4.6
06235  1.3  1.0  0.0  8.0 d  6.2
06237  4.9  1.4  0.0  6.5 d  6.2
06256  5.0  1.5  0.0  5.8 v  6.5
06257  2.8  2.6  0.0  5.1 v  8.9
06271  6.0  2.4  0.0  5.5 v   10
06275  1.6  1.2  0.0  7.0 d  2.1
06305  3.0  1.5  0.0  6.9 d  4.6
